refit_month,history_start,history_end,max_label_realization_month,future_leakage_pass
2018-01-31,2016-01-31,2017-12-31,2018-01-31,True
2018-04-30,2016-01-31,2018-03-31,2018-04-30,True
2018-07-31,2016-01-31,2018-06-30,2018-07-31,True
2018-10-31,2016-01-31,2018-09-30,2018-10-31,True
2019-01-31,2016-01-31,2018-12-31,2019-01-31,True
2019-04-30,2016-01-31,2019-03-31,2019-04-30,True
2019-07-31,2016-01-31,2019-06-30,2019-07-31,True
2019-10-31,2016-01-31,2019-09-30,2019-10-31,True
2020-01-31,2016-01-31,2019-12-31,2020-01-31,True
2020-04-30,2016-01-31,2020-03-31,2020-04-30,True
2020-07-31,2016-01-31,2020-06-30,2020-07-31,True
2020-10-31,2016-01-31,2020-09-30,2020-10-31,True
2021-01-31,2016-01-31,2020-12-31,2021-01-31,True
2021-04-30,2016-04-30,2021-03-31,2021-04-30,True
2021-07-31,2016-07-31,2021-06-30,2021-07-31,True
2021-10-31,2016-10-31,2021-09-30,2021-10-31,True
2022-01-31,2017-01-31,2021-12-31,2022-01-31,True
2022-04-30,2017-04-30,2022-03-31,2022-04-30,True
2022-07-31,2017-07-31,2022-06-30,2022-07-31,True
2022-10-31,2017-10-31,2022-09-30,2022-10-31,True
2023-01-31,2018-01-31,2022-12-31,2023-01-31,True
2023-04-30,2018-04-30,2023-03-31,2023-04-30,True
2023-07-31,2018-07-31,2023-06-30,2023-07-31,True
2023-10-31,2018-10-31,2023-09-30,2023-10-31,True
2024-01-31,2019-01-31,2023-12-31,2024-01-31,True
2024-04-30,2019-04-30,2024-03-31,2024-04-30,True
2024-07-31,2019-07-31,2024-06-30,2024-07-31,True
2024-10-31,2019-10-31,2024-09-30,2024-10-31,True
2025-01-31,2020-01-31,2024-12-31,2025-01-31,True
2025-04-30,2020-04-30,2025-03-31,2025-04-30,True
2025-07-31,2020-07-31,2025-06-30,2025-07-31,True
2025-10-31,2020-10-31,2025-09-30,2025-10-31,True
